Country,Year,Primary Enrollment,Secondary Enrollment,Primary_Secondary_Gap,Tertiary Enrollment,Primary_Tertiary_Gap
Japan,1990,105.436996459961,97.01806640625,8.42,28.3045101165771,77.13
Japan,1991,105.816207885742,98.878662109375,6.94,28.9670906066895,76.85
Japan,1992,105.982841491699,99.9357223510742,6.05,29.4865608215332,76.5
Japan,1993,106.275009155273,100.350608825684,5.92,,
Japan,1994,106.348808288574,104.207321166992,2.14,38.4202690124512,67.93
Japan,1995,106.050399780273,104.70955657959,1.34,39.7703018188477,66.28
Japan,1996,105.785926818848,105.423896789551,0.36,,
Japan,1997,105.445770263672,,,,
Japan,1998,105.037727355957,105.70581817627,-0.67,45.2566986083984,59.78
Japan,1999,104.320327758789,105.892799377441,-1.57,46.8638801574707,57.46
Japan,2013,102.255889892578,101.781173706055,0.47,62.8381881713867,39.42
Japan,2014,102.415283203125,101.813980102539,0.6,62.7269897460938,39.69
Japan,2015,102.41911315918,102.200416564941,0.22,62.4726600646973,39.95
Japan,2016,102.216911315918,101.167999267578,1.05,63.1872291564941,39.03
Japan,2017,102.254829406738,101.882888793945,0.37,62.4629783630371,39.79
Japan,2018,102.099906921387,102.425148010254,-0.33,62.2089385986328,39.89
Japan,2019,102.652282714844,102.670066833496,-0.02,62.1184997558594,40.53
Japan,2020,102.736831665039,102.844802856445,-0.11,62.1358413696289,40.6
India,1990,93.7505874633789,,,5.98130989074707,87.77
India,1991,93.34375,,,6.06103992462158,87.28
India,1992,93.5672073364258,,,,
India,1993,95.2196502685547,45.8958511352539,49.32,,
India,1994,95.9053573608398,46.3614311218262,49.54,,
India,1995,95.077018737793,46.2023887634277,48.87,5.54008007049561,89.54
India,1996,94.2771072387695,46.274600982666,48.0,6.26949977874756,88.01
India,1997,93.7279815673828,46.7925491333008,46.94,6.55761003494263,87.17
India,1998,92.0035095214844,,,,
India,1999,92.6203002929688,43.6683311462402,48.95,,
India,2000,93.9977722167969,45.4210510253906,48.58,9.65246963500977,84.35
India,2001,98.9954681396484,48.0781288146973,50.92,10.3922300338745,88.6
India,2002,98.0657272338867,49.2973213195801,48.77,10.7845497131348,87.28
India,2003,106.22322845459,51.9028091430664,54.32,11.2758102416992,94.95
India,2004,,53.6583099365234,,11.6037998199463,
India,2005,,56.3279800415039,,11.3199701309204,
India,2006,,57.2240791320801,,12.1438102722168,
India,2007,114.114318847656,59.5899810791016,54.52,13.8339099884033,100.28
India,2008,114.626556396484,62.6794281005859,51.95,15.8141202926636,98.81
India,2009,113.051681518555,61.8002281188965,51.25,16.8205890655518,96.23
India,2010,112.527946472168,65.3513488769531,47.18,18.6971797943115,93.83
India,2011,109.70790287368,68.5910110473633,41.12,23.8253688812256,85.88
India,2012,111.775573730469,70.3243865966797,41.45,24.9402103424072,86.84
India,2013,113.416778564453,69.9568023681641,43.46,24.3906383514404,89.03
India,2014,111.584541320801,75.3183288574219,36.27,25.991325378418,85.59
India,2015,112.937843322754,74.9483337402344,37.99,27.2845668792725,85.65
India,2016,119.512832641602,76.119987487793,43.39,27.3043575286865,92.21
India,2017,117.868171691895,74.5972671508789,43.27,27.9090518951416,89.96
India,2018,101.097955965022,75.7847900390625,25.31,28.5316867828369,72.57
India,2019,99.5039236144817,75.5255813598633,23.98,29.0233592987061,70.48
India,2020,101.291253449929,77.6271551845716,23.66,29.8196392059326,71.47
Afghanistan,1990,34.5772399902344,12.3093795776367,22.27,2.46528005599976,32.11
Afghanistan,1991,36.1169204711914,19.6126003265381,16.5,,
Afghanistan,1993,36.4765815734863,18.6544399261475,17.82,,
Afghanistan,1994,47.7860984802246,24.9947395324707,22.79,,
Afghanistan,1995,49.6983299255371,23.9882106781006,25.71,,
Afghanistan,1998,34.2968788146973,,,,
Afghanistan,1999,27.298849105835,,,,
Afghanistan,2000,22.1629905700684,,,,
Afghanistan,2001,22.9085903167725,14.4715099334717,8.44,,
Afghanistan,2002,75.9597473144531,,,,
Afghanistan,2003,96.5536804199219,14.078049659729,82.48,1.38107001781464,95.17
Afghanistan,2004,106.252662658691,19.2631397247314,86.99,1.38966000080109,104.86
Afghanistan,2005,100.229690551758,20.3119602203369,79.92,,
Afghanistan,2006,103.932243347168,29.6913509368896,74.24,,
Afghanistan,2007,101.086456298828,29.0891704559326,72.0,,
Afghanistan,2008,103.413963317871,39.090030670166,64.32,,
Afghanistan,2009,99.3697204589844,44.3971710205078,54.97,4.02480983734131,95.34
Afghanistan,2010,102.903442382812,50.413688659668,52.49,,
Afghanistan,2011,100.290298461914,52.198429107666,48.09,3.75560998916626,96.53
Afghanistan,2012,106.283401489258,54.2063903808594,52.08,,
Afghanistan,2013,107.695976257324,54.7542190551758,52.94,,
Afghanistan,2014,109.115516662598,54.235481262207,54.88,8.31087017059326,100.8
Afghanistan,2015,106.182418823242,53.2851409912109,52.9,,
Afghanistan,2016,106.150283813477,53.5063400268555,52.64,,
Afghanistan,2017,106.129997253418,55.4021492004395,50.73,,
Afghanistan,2018,107.780532836914,57.0392990112305,50.74,9.96378993988037,97.82
Afghanistan,2019,110.007507324219,,,,
Afghanistan,2020,,,,10.8584403991699,
