Year,Country,Primary Enrollment,Secondary Enrollment,Tertiary Enrollment
YR1971,Japan,99.7673797607422,89.4968872070312,16.8582096099854
YR1972,Japan,98.515022277832,90.1072082519531,19.1502799987793
YR1973,Japan,101.382659912109,90.9210586547852,21.2372703552246
YR1974,Japan,98.3008193969727,92.0274200439453,23.2406406402588
YR1975,Japan,98.8699111938477,92.3583984375,25.2607192993164
YR1976,Japan,99.8262481689453,92.1384811401367,27.3905296325684
YR1977,Japan,100.468017578125,92.5177917480469,28.5044097900391
YR1978,Japan,100.955421447754,92.1658172607422,30.500919342041
YR1979,Japan,98.3465576171875,95.2694778442383,30.7336292266846
YR1980,Japan,100.897979736328,92.5105819702148,30.6837291717529
YR1981,Japan,101.057250976562,93.1327896118164,30.1805591583252
YR1982,Japan,101.455848693848,94.1170501708984,29.8377990722656
YR1983,Japan,102.020500183105,94.8321685791016,29.1943397521973
YR1984,Japan,102.566703796387,95.2592010498047,28.7035007476807
YR1985,Japan,103.185752868652,93.0627517700195,29.2574195861816
YR1986,Japan,104.224502563477,95.4335021972656,27.6399192810059
YR1987,Japan,104.725341796875,95.6961364746094,27.7797107696533
YR1988,Japan,104.812980651855,96.0851364135742,28.5227203369141
YR1989,Japan,105.035507202148,96.5883483886719,28.9983501434326
YR1990,Japan,105.436996459961,97.01806640625,28.3045101165771
YR1991,Japan,105.816207885742,98.878662109375,28.9670906066895
YR1992,Japan,105.982841491699,99.9357223510742,29.4865608215332
YR1993,Japan,106.275009155273,100.350608825684,
YR1994,Japan,106.348808288574,104.207321166992,38.4202690124512
YR1995,Japan,106.050399780273,104.70955657959,39.7703018188477
YR1996,Japan,105.785926818848,105.423896789551,
YR1997,Japan,105.445770263672,,
YR1998,Japan,105.037727355957,105.70581817627,45.2566986083984
YR1999,Japan,104.320327758789,105.892799377441,46.8638801574707
YR2013,Japan,102.255889892578,101.781173706055,62.8381881713867
YR2014,Japan,102.415283203125,101.813980102539,62.7269897460938
YR2015,Japan,102.41911315918,102.200416564941,62.4726600646973
YR2016,Japan,102.216911315918,101.167999267578,63.1872291564941
YR2017,Japan,102.254829406738,101.882888793945,62.4629783630371
YR2018,Japan,102.099906921387,102.425148010254,62.2089385986328
YR2019,Japan,102.652282714844,102.670066833496,62.1184997558594
YR2020,Japan,102.736831665039,102.844802856445,62.1358413696289
YR2021,Japan,102.218322753906,102.155380249023,63.1702690124512
YR2022,Japan,102.158706665039,102.337966918945,64.6288299560547
